시도명,시군구명,인허가일자,인허가취소일자,영업상태,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지우편번호,도로명전체주소,사업장명,위도,경도,지정일자,민원종류명,
서울특별시,마포구,20220819 ,,영업/정상,정상영업,,,,,,04184,서울특별시 마포구 만리재로10안길 9. 1층 (공덕동),케이원마트,37.5491705,126.960855,20220819 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220811 ,,영업/정상,정상영업,,,,,,04176,서울특별시 마포구 마포대로4길 12. 1층 (마포동),세븐일레븐 마포복사꽃점,37.5387401,126.946219,20220811 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220805 ,,영업/정상,정상영업,,,,,,04034,서울특별시 마포구 양화로11길 18. 1층 (서교동),씨유 마포서교점,37.5521088,126.915675,20220805 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220802 ,,영업/정상,정상영업,,,,,,04166,서울특별시 마포구 토정로37길 231. 1층 (용강동),씨유 마포대운점,37.5413971,126.945188,20220802 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220802 ,,영업/정상,정상영업,,,,,,04168,서울특별시 마포구 마포대로 지하 92. 공덕역 지하3층 (도화동),지에스(GS)25S공덕역점,37.5507258,126.958522,20220802 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220726 ,,영업/정상,정상영업,,,,,,04077,서울특별시 마포구 토정로 1659. 1층 101호 (하중동),씨유 마포서강해모로점,37.545767,126.929062,20220726 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220722 ,,영업/정상,정상영업,,,,,,04066,서울특별시 마포구 와우산로 94. 홍익대학교 제2기숙사 B층 117호 (상수동),이마트24R 홍대기숙사점,37.5494945,126.924812,20220722 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220720 ,,영업/정상,정상영업,,,,,,04069,서울특별시 마포구 서강로 55. 서강쌍용예가 1층 103호 (창전동),지에스(GS)25광흥창역점,37.5482267,126.929746,20220720 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220720 ,,영업/정상,정상영업,,,,,,04147,서울특별시 마포구 백범로31길 21. 서울창업허브. 서울복지타운 (공덕동),이마트24 서울창업허브점,37.5466226,126.949851,20220720 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220712 ,,영업/정상,정상영업,,,,,,04016,서울특별시 마포구 희우정로15길 3. 1층 (망원동),우리마트,37.5536749,126.901938,20220712 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220707 ,,영업/정상,정상영업,,,,,,04201,서울특별시 마포구 마포대로 246. 상가동 비210.비211호 (아현동. 마포센트럴 아이파크),씨유아현아이파크점,37.5555337,126.958004,20220707 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220706 ,,영업/정상,정상영업,,,,,,03929,서울특별시 마포구 성암로 179. 한샘상암사옥 1층 (상암동),(주)코리아세븐 상암한샘점,37.5760678,126.898608,20220706 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220706 ,,영업/정상,정상영업,,,,,,04020,서울특별시 마포구 포은로 29. 신성빌딩 1층 (합정동),씨유 마포양화공원점,37.5503055,126.907913,20220706 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220630 ,,영업/정상,정상영업,,,,,,03909,서울특별시 마포구 매봉산로 45. KBS미디어센터 지하1층 일부호 (상암동),드림마트,37.5763934,126.890912,20220630 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220622 ,,영업/정상,정상영업,,,,,,04143,서울특별시 마포구 마포대로 143. 마포공덕파크팰리스 Ⅱ 제지하층 제비108호 (공덕동),베이핑클럽 공덕,37.5473978,126.953028,20220622 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220603 ,,영업/정상,정상영업,,,,,,03948,서울특별시 마포구 월드컵북로27길 41 (성산동),성산슈퍼,37.5661669,126.90778,20220603 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220603 ,,영업/정상,정상영업,,,,,,04103,서울특별시 마포구 고산길 85. 1층 일부호 (노고산동),(주)코리아세븐 노고산타운점,37.5548509,126.941515,20220603 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220603 ,,영업/정상,정상영업,,,,,232751117,04093,서울특별시 마포구 토정로 192. 진영빌딩 1층 (구수동),지에스(GS)25 서강자이점,37.5452078,126.932182,20220603 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220530 ,,영업/정상,정상영업,,,,,,03925,서울특별시 마포구 월드컵북로 400. 서울산업진흥원 102호 (상암동),지에스(GS)25상암SBA점,37.5803709,126.88979,20220530 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220526 ,,영업/정상,정상영업,,,,,,03972,서울특별시 마포구 월드컵북로20안길 1. 1층 101호 (성산동. 성산온세빌),세븐일레븐 성산행운점,37.5643965,126.914233,20220526 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220427 ,,영업/정상,정상영업,,,,,,04170,서울특별시 마포구 도화길 32. 삼성아파트 126호 127호 (도화동),씨유 마포삼성점,37.540034,126.95037,20220427 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220418 ,,영업/정상,정상영업,,,,,28779114,04130,서울특별시 마포구 마포대로 17314. 마포 센텀 슬로우스퀘어 지하1층 (아현동),아현식자재마트,37.5509007,126.953451,20220418 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220413 ,,영업/정상,정상영업,,,,,,04002,서울특별시 마포구 월드컵북로5나길 21. 1층 (서교동),이마트24 서교미래점,37.5575064,126.916008,20220413 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220414 ,,영업/정상,정상영업,,,,,,03968,서울특별시 마포구 성미산로 33. 1층 (성산동),지에스(GS)25 성산본점,37.5589275,126.911911,20220414 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220401 ,,영업/정상,정상영업,,,,,,04025,서울특별시 마포구 월드컵로1길 40. 1층 (합정동),지에스(GS)25 합정레인보우점,37.5493998,126.91072,20220401 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220325 ,,영업/정상,정상영업,,,,,,03988,서울특별시 마포구 연남로 31. 1층 (연남동),GS25 연남하늘채점,37.5623608,126.921581,20220325 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220316 ,,영업/정상,정상영업,,,,,,03912,서울특별시 마포구 월드컵북로 347. 상암메디컬빌딩 104호 (상암동),씨유 마포상암점,37.5763932,126.893339,20220316 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220310 ,,영업/정상,정상영업,,,,,222741741,04066,서울특별시 마포구 와우산로 94. 홍익대학교 홍문관 3층 (상수동),㈜영우,37.5525734,126.924861,20220310 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220307 ,,영업/정상,정상영업,,,,,,03991,서울특별시 마포구 동교로23길 67. Y빌딩 1층 (연남동),씨유 연남Y빌딩점,37.5585754,126.918511,20220307 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220303 ,,영업/정상,정상영업,,,,,,04147,서울특별시 마포구 백범로31길 8. 단지내 상가 2동 115호 (공덕동. 공덕SK리더스뷰),씨유 공덕SK리더스뷰점,37.5451058,126.949236,20220303 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220303 ,,영업/정상,정상영업,,,,,,04036,서울특별시 마포구 양화로 45. 제물동 제지층 제비199호 (서교동. 메세나폴리스),㈜코리아세븐 마포메세나점,37.5489656,126.913477,20220303 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220204 ,,영업/정상,정상영업,,,,,,03922,서울특별시 마포구 월드컵북로 434. 상암 IT Tower 107호 (상암동),지에스(GS)25 SH상암1호점,37.5813924,126.885617,20220204 ,제7조의3제3항에따른경우,
서울특별시,마포구,20220204 ,,영업/정상,정상영업,,,,,,03954,서울특별시 마포구 마포나루길 407. 씨스페이스 (망원동),주식회사 인더라인25 (망원2호점),37.5546098,126.89571,20220204 ,제7조의3제2항에따른경우,
서울특별시,마포구,20220107 ,,영업/정상,정상영업,,,,,,04209,서울특별시 마포구 만리재로 63. 블루마리오피스텔 101호 (신공덕동),지에스(GS)25 공덕블루마리점,37.5468156,126.957257,20220107 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211222 ,,영업/정상,정상영업,,,,,,03991,서울특별시 마포구 월드컵북로6길 3. 이노베이스 빌딩 1층 (연남동),지에스25연남SCG점,37.5592487,126.921316,20211222 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211220 ,,영업/정상,정상영업,,,,,,03930,서울특별시 마포구 성암로13길 60. 1층 102호 (상암동),캡틴,37.5755245,126.89774,20211220 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211216 ,,영업/정상,정상영업,,,,,,04068,서울특별시 마포구 와우산로 48. 로하스타워 지112호 (상수동),지에스25 상수역점,37.5485083,126.923281,20211216 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211214 ,,영업/정상,정상영업,,,,,,04049,서울특별시 마포구 독막로 71. 1층 일부 (상수동),순복권,37.5479312,126.921337,20211214 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211208 ,,영업/정상,정상영업,,,,,,04039,서울특별시 마포구 잔다리로6길 23 (서교동),롯데씨브이에스711 홍대잔다리점,37.5523369,126.920305,20211208 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211203 ,,영업/정상,정상영업,,,,,,04168,서울특별시 마포구 도화길 43. 나눔빌딩 101호 (도화동),지에스25(GS25) 도화삼보,37.5418193,126.950311,20211203 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211202 ,,영업/정상,정상영업,,,,,,04203,서울특별시 마포구 마포대로24안길 3. 지하1층. 지하2층 (아현동. 천중팰리스),주식회사 에이치피푸드,37.5539627,126.959581,20211202 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211201 ,,영업/정상,정상영업,,,,,,03984,서울특별시 마포구 성미산로32길 47. 1층 (연남동),씨유 연남파크점,37.5627684,126.922696,20211201 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211129 ,,영업/정상,정상영업,,,,,,03978,서울특별시 마포구 성미산로 91. 1층 (성산동),이마트24 마포성산,37.5612233,126.917601,20211129 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211125 ,,영업/정상,정상영업,,,,,,04073,서울특별시 마포구 독막로8길 27. 1층 (합정동),지에스25 합정당인점,37.5466407,126.917956,20211125 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211122 ,,영업/정상,정상영업,,,,,,04152,서울특별시 마포구 독막로 282. 대흥빌딩 1층 (대흥동),씨유 대흥청담점,37.5449999,126.944336,20211122 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211116 ,,영업/정상,정상영업,,,,,,04004,서울특별시 마포구 월드컵로10길 28. 동명빌딩 1층 (서교동),미니스톱 서교동명점,37.5548054,126.913298,20211116 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211116 ,,영업/정상,정상영업,,,,,,03941,서울특별시 마포구 월드컵북로 224. 1층 115~118호 (성산동),씨유 성산청화점,37.5697336,126.904513,20211116 ,제7조의3제2항에따른경우,
서울특별시,마포구,20211111 ,,영업/정상,정상영업,,,,,,04167,서울특별시 마포구 마포대로 33. 지층 127호 (도화동. 마포 한화 오벨리스크),한화세탁,37.5399759,126.945463,20211111 ,제7조의3제3항에따른경우,
