자치구,시설 구분,시설형태,설치 위치,규모(제곱미터),설치기관,데이터기준일자,주소,위도,경도
양천구,청사,완전개방형,양천구청 부지,8.0,양천구청,2022-08-01,서울특별시 양천구 목동동로 105,37.5170753784215,126.866542541936
양천구,청사,완전개방형,해누리타운 4층 옥외정원,8.0,양천구청,2022-08-01,서울특별시 양천구 목동동로 81,37.5159760603841,126.86385454407
양천구,청사,완전개방형,양천경찰서 부지,10.0,양천경찰서,2022-08-01,서울특별시 양천구 목동동로 99,37.516676240279,126.865594446627
양천구,청사,개방형,남부지방법원 후문 옆,17.0,남부지방법원,2022-08-01,서울특별시 양천구 신월로 386,37.5221656906619,126.863944090436
양천구,청사,개방형,양천세무서 부지 우측,10.0,양천세무서,2022-08-01,서울특별시 양천구 목동동로 165,37.5205418090623,126.869937676517
양천구,청사,개방형,서울시 출입국관리사무소 부지,10.0,출입국관리사무소,2022-08-01,서울특별시 양천구 목동동로 151,37.5192333898378,126.869625817317
양천구,청사,개방형,법무복지공단 부지,7.0,법무복지공단,2022-08-01,서울특별시 양천구 지양로 137,37.5235273726103,126.827829397102
양천구,의료기관,개방형,이대목동병원 부지,17.0,이대목동병원,2022-08-01,서울특별시 양천구 안양천로 1071,37.5369818505985,126.886743916495
양천구,의료기관,개방형,홍익병원 옥상,7.0,홍익병원,2022-08-01,서울특별시 양천구 목동로 225,37.5284817220954,126.863640511323
양천구,의료기관,개방형,서남병원 부지,7.0,서남병원,2022-08-01,서울특별시 양천구 신정이펜1로 20,37.5120203521684,126.833131511699
양천구,대형건물,완전개방형,현대백화점 4층,15.0,현대백화점,2022-08-01,서울특별시 양천구 목동동로 257,37.5273217750941,126.874619136454
양천구,대형건물,완전개방형,방송회관 7층,10.0,방송회관,2022-08-01,서울특별시 양천구 목동동로 233,37.526981693329,126.871394248566
양천구,대형건물,개방형,상운맘모스빌딩 옥상,6.2,상운맘모스빌딩,2022-08-01,서울특별시 양천구 중앙로 237,37.5177429690532,126.853643266456
양천구,대형건물,개방형,양천벤처타운 부지,6.0,양천벤처타운 ,2022-08-01,서울특별시 양천구 신정로 267,37.5122197905037,126.850668115021
양천구,대형건물,개방형,현대41타워 부지,13.0,현대41타워,2022-08-01,서울특별시 양천구 목동동로 293,37.5281783139269,126.875771989415
양천구,대형건물,개방형,SBS 부지,16.5,SBS,2022-08-01,서울특별시 양천구 목동서로 161,37.5291902429029,126.87374657727
양천구,대형건물,개방형,KT 목동타워 부지,3.5,KT 목동타워,2022-08-01,서울특별시 양천구 목동서로 201,37.52124412068364,126.86314260053979
양천구,체육시설,개방형,목동아이스링크 부지,6.5,목동아이스링크,2022-08-01,서울특별시 양천구 안양천로 939,37.5307279531237,126.879233453873
양천구,대형건물,개방형,메디컬센터 옥상,5.5,메디컬센터,2022-08-01,서울특별시 양천구 등촌로 142,37.5427304553085,126.863137393899
양천구,대형건물,개방형,양천차고지 1층,3.7,양천차고지,2022-08-01,서울특별시 양천구 신정로7길 17,37.5070595025885,126.83627689907
양천구,대형건물,완전개방형,현대드림타워 후문 부지,6.6,현대드림타워,2022-08-01,서울특별시 양천구 목동동로 233-1,37.5274862615567,126.871566699077
양천구,금연공동주택,완전개방형,부영그린타운 3차 부지,6.5,부영그린타운 3차,2022-08-01,서울특별시 양천구 목동동로 411,37.5367262201569,126.882213637856
