기준 년코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,시군구_코드,시도명,시군구명,행정동_코드,행정동명,위도,경도
2022,4,U,관광특구,1001496,강남 마이스 관광특구,112658,11680,서울,강남구,580,삼성1동,37.511002913176945,127.06005939988393
2022,3,U,관광특구,1001496,강남 마이스 관광특구,112779,11680,서울,강남구,580,삼성1동,37.511002913176945,127.06005939988393
2022,2,U,관광특구,1001496,강남 마이스 관광특구,106859,11680,서울,강남구,580,삼성1동,37.511002913176945,127.06005939988393
2022,1,U,관광특구,1001496,강남 마이스 관광특구,92815,11680,서울,강남구,580,삼성1동,37.511002913176945,127.06005939988393
2022,4,U,관광특구,1001495,잠실 관광특구,3632727,11710,서울,송파구,566,오륜동,37.51647607488473,127.11527494608232
2022,3,U,관광특구,1001495,잠실 관광특구,3462257,11710,서울,송파구,566,오륜동,37.51647607488473,127.11527494608232
2022,2,U,관광특구,1001495,잠실 관광특구,3561819,11710,서울,송파구,566,오륜동,37.51647607488473,127.11527494608232
2022,1,U,관광특구,1001495,잠실 관광특구,3221641,11710,서울,송파구,566,오륜동,37.51647607488473,127.11527494608232
2022,4,U,관광특구,1001494,종로?청계 관광특구,3957665,11110,서울,종로구,615,종로1.2.3.4가동,37.56999760824763,126.9973738673892
2022,3,U,관광특구,1001494,종로?청계 관광특구,3847828,11110,서울,종로구,615,종로1.2.3.4가동,37.56999760824763,126.9973738673892
2022,2,U,관광특구,1001494,종로?청계 관광특구,4041501,11110,서울,종로구,615,종로1.2.3.4가동,37.56999760824763,126.9973738673892
2022,1,U,관광특구,1001494,종로?청계 관광특구,3610698,11110,서울,종로구,615,종로1.2.3.4가동,37.56999760824763,126.9973738673892
2022,4,U,관광특구,1001493,동대문패션타운 관광특구,3249964,11140,서울,중구,590,광희동,37.567312155725965,127.0110248333143
2022,3,U,관광특구,1001493,동대문패션타운 관광특구,3028657,11140,서울,중구,590,광희동,37.567312155725965,127.0110248333143
2022,2,U,관광특구,1001493,동대문패션타운 관광특구,3242889,11140,서울,중구,590,광희동,37.567312155725965,127.0110248333143
2022,1,U,관광특구,1001493,동대문패션타운 관광특구,2996402,11140,서울,중구,590,광희동,37.567312155725965,127.0110248333143
2022,4,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4667755,11140,서울,중구,520,소공동,37.564148780123666,126.98185620077636
2022,3,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4367217,11140,서울,중구,520,소공동,37.564148780123666,126.98185620077636
2022,2,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4382710,11140,서울,중구,520,소공동,37.564148780123666,126.98185620077636
2022,1,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,3657861,11140,서울,중구,520,소공동,37.564148780123666,126.98185620077636
