연번,설치장소(상호명),도로명주소,비고(관리연합회),데이터 기준일자
1,노량진생고기,서울특별시 동작구 만양로 108,상가연합회,2023-04-27
2,두꺼비식당,서울특별시 동작구 만양로 102-3,상가연합회,2023-04-27
3,명가왕족발보쌈,서울특별시 동작구 만양로 92,상가연합회,2023-04-27
4,짚신매운갈비,서울특별시 동작구 만양로 94,상가연합회,2023-04-27
5,노량해전,서울특별시 동작구 만양로 16길 4,상가연합회,2023-04-27
6,주현닭한마리,서울특별시 동작구 만양로 16길 6,상가연합회,2023-04-27
7,다래포차,서울특별시 동작구 만양로 16길 9,상가연합회,2023-04-27
8,오징어야,서울특별시 동작구 만양로 14길 9,상가연합회,2023-04-27
9,연가,서울특별시 동작구 만양로 89-1,상가연합회,2023-04-27
10,영흥정육식당,서울특별시 동작구 만양로 85-1,상가연합회,2023-04-27
11,웅비고시원,서울특별시 동작구 만양로14길 62,고시원연합회,2023-04-27
12,광일고시원,서울특별시 동작구 만양로14아길 11,고시원연합회,2023-04-27
13,스타고시텔,서울특별시 동작구 만양로12가길 64,고시원연합회,2023-04-27
14,성원고시원,서울특별시 동작구 만양로10길 2,고시원연합회,2023-04-27
15,힐탑고시원,서울특별시 동작구 만양로13길 38(골목길쪽),고시원연합회,2023-04-27
16,힐탑고시원,서울특별시 동작구 만양로13길 38(공원쪽),고시원연합회,2023-04-27
17,아모르빌고시텔,서울특별시 동작구 만양로13길 44,고시원연합회,2023-04-27
