시도명,시군구명,상호명,도로명주소,수량,세부위치,데이터기준일자,
서울특별시,마포구,마포나루장터,서울특별시 마포구 광성로6길 66 (쌍마막회에서 1개 이동),1,,2022-08-05,
서울특별시,마포구,블랙시스(아이나비),서울특별시 마포구 대흥로 40,1,가게앞,2022-08-05,
서울특별시,마포구,성우서서갈비,서울특별시 마포구 마포대로1길 26,2,가게안, 가게앞,2022-08-05,
서울특별시,마포구,고고네 닭한마리,서울특별시 마포구 마포대로1길 46 ,1,가게앞,2022-08-05,
서울특별시,마포구,원마산아구찜,서울특별시 마포구 마포대로1길 46 우측상가,1,재활용수집,2022-08-05,
서울특별시,마포구,능라도,서울특별시 마포구 마포대로 25, 101 신한디엠빌딩,1,가게앞,2022-08-05,
서울특별시,마포구,기아오토큐,서울특별시 마포구 토정로 252,1,가게앞,2022-08-05,
서울특별시,마포구,마포풍천장어,서울특별시 마포구 토정로 253,3,가게앞2, 창고1,2022-08-05,
서울특별시,마포구,램랜드,서울특별시 마포구 토정로 255,3,가게앞 2, 가게뒤 1,2022-08-05,
서울특별시,마포구,쌍마막회,서울특별시 마포구 토정로 257,2,가게앞,2022-08-05,
서울특별시,마포구,잔비어,서울특별시 마포구 토정로 261,1,육도창고 보관,2022-08-05,
서울특별시,마포구,주신의 식탁,서울특별시 마포구 토정로 262, 1층,1,가게앞,2022-08-05,
서울특별시,마포구,㈜화창 운수,서울특별시 마포구 토정로 272,2,사무실1, 창고1,2022-08-05,
서울특별시,마포구,촌놈숯불닭갈비,서울특별시 마포구 토정로 276,1,가게앞,2022-08-05,
서울특별시,마포구,제주항,서울특별시 마포구 토정로 277-1,1,가게앞,2022-08-05,
서울특별시,마포구,MTB(강변),서울특별시 마포구 토정로 278 (용강동 116-4),1,초정갈비앞,2022-08-05,
서울특별시,마포구,피맥하우스,서울특별시 마포구 토정로 286-1,1,띠녹지앞,2022-08-05,
서울특별시,마포구,하루,서울특별시 마포구 토정로 288-1,1,띠녹지앞,2022-08-05,
서울특별시,마포구,호치킨,서울특별시 마포구 토정로 290-1 (술친구호프에서 1개 이동),1,띠녹지앞,2022-08-05,
서울특별시,마포구,싸다구,서울특별시 마포구 토정로 292,1,가게앞,2022-08-05,
서울특별시,마포구,청기와타운 비비큐,서울특별시 마포구 토정로 296, 이연빌딩 1층 (구 찜마을),1,가게앞,2022-08-05,
서울특별시,마포구,카나,서울특별시 마포구 토정로 303,1,가게안,2022-08-05,
서울특별시,마포구,양촌리(정정당당),서울특별시 마포구 토정로 304,2,가게앞,2022-08-05,
서울특별시,마포구,보스톤,서울특별시 마포구 토정로 305,1,가게앞,2022-08-05,
서울특별시,마포구,회사랑,서울특별시 마포구 토정로 307,1,가게뒤(비닐),2022-08-05,
서울특별시,마포구,김박사 칼국수,서울특별시 마포구 토정로 307,1,가게앞,2022-08-05,
서울특별시,마포구,봉피양,서울특별시 마포구 토정로 308,1,띠녹지앞,2022-08-05,
서울특별시,마포구,초정숯불갈비,서울특별시 마포구 토정로 309,2,가게앞 2,2022-08-05,
서울특별시,마포구,육시리,서울특별시 마포구 토정로 310,1,후문 1,2022-08-05,
서울특별시,마포구,아미바 위스키바,서울특별시 마포구 토정로 310-1 (구 노랑통닭),2,가게앞,2022-08-05,
서울특별시,마포구,참생태탕,서울특별시 마포구 토정로 311,1,가게앞,2022-08-05,
서울특별시,마포구,원조 부안집,서울특별시 마포구 토정로 311 (구 만족오향족발),1,띠녹지앞,2022-08-05,
서울특별시,마포구,마포옥,서울특별시 마포구 토정로 312 (2층),2,가게안,2022-08-05,
서울특별시,마포구,후노래방,서울특별시 마포구 토정로 312-1,1,가게앞,2022-08-05,
서울특별시,마포구,쭈꾸미숯불구이,서울특별시 마포구 토정로 313,1,가게안,2022-08-05,
서울특별시,마포구,작은섬소년,서울특별시 마포구 토정로37가길 13,1,가게앞,2022-08-05,
서울특별시,마포구,ok노래연습장,서울특별시 마포구 토정로 314,1,,2022-08-05,
서울특별시,마포구,마루심(모연 옆),서울특별시 마포구 토정로 316 성진빌딩1층 (2/8),1,가게맞은편,2022-08-05,
서울특별시,마포구,모연(구 하누소),서울특별시 마포구 토정로 318 (후문 1개),2,가게안, 후문,2022-08-05,
서울특별시,마포구,대감집,서울특별시 마포구 토정로 319,1,가게앞,2022-08-05,
서울특별시,마포구,태순집,서울특별시 마포구 토정로 319,2,가게앞2,2022-08-05,
서울특별시,마포구,한우명가,서울특별시 마포구 토정로 320,2,길가입구,2022-08-05,
서울특별시,마포구,동아일보,서울특별시 마포구 토정로25길 11-4,2,신문사앞2,2022-08-05,
서울특별시,마포구,육도,서울특별시 마포구 토정로25길 261,1,창고보관,2022-08-05,
서울특별시,마포구,술친구호프,서울특별시 마포구 토정로31길 23,1,띠녹지앞,2022-08-05,
서울특별시,마포구,어부네회,서울특별시 마포구 토정로31길 23 마포리버웰상가 1층,1,띠녹지앞,2022-08-05,
서울특별시,마포구,창고보관,서울특별시 마포구 토정로31길 23 마포리버웰상가 주차장 창고,6,,2022-08-05,
서울특별시,마포구,용강동 지구대,서울특별시 마포구 토정로31길 35,1,지구대옆,2022-08-05,
