연번,설치장소,도로명주소,설치일자,데이터기준일자
1,현대41타워앞 인도,서울시 양천구 목동동로 293,2022-05-01,2022-08-16
2,파리지앙A앞 공용주차장, 서울시 양천구 목동서로 57,2022-05-01,2022-08-16
3,보성상가옆 먹자골목, 서울시 양천구 오목로 232,2022-05-01,2022-08-16
4,신정네거리역 뒤 먹자골목,서울시 양천구 중앙로 276,2022-05-01,2022-08-16
5,농협 옆 골목,서울시 양천구 오목로 325,2022-05-01,2022-08-16
6,오목교역 2번출구 옆,서울시 양천구 오목로 329,2022-05-01,2022-08-16
7,맥도날드 공용주차장,서울시  양천구 목동동로 71,2022-05-01,2022-08-16
8,마스터그레이드 커피 앞, 서울시 양천구 목동로25길 2,2022-05-01,2022-08-16
9,버스 안다니는 길 먹자골목,서울시 양천구 신정중앙로 103,2022-05-01,2022-08-16
10,신정역 1번출구 GS 편의점 옆 골목,서울시 양천구 오목로 153,2022-05-01,2022-08-16
11,건물과 건물사이길 골목, 서울시 양천구 등촌로 32,2022-05-01,2022-08-16
12,양천나눔누리센터 건물 뒤편, 서울특별시 양천구 중앙로 250,2022-05-01,2022-08-16
