연번,동명,주소,비고,데이터기준일
1,당산1동,서울특별시 영등포구 당산로32길 1-6,,2022-08-03
2,당산1동,서울특별시 영등포구 국회대로36길 7-3,,2022-08-03
3,당산1동,서울특별시 영등포구 당산로32길 5 이차돌,,2022-08-03
4,당산1동,서울특별시 영등포구 국회대로34길 4 가화,,2022-08-03
5,당산1동,서울특별시 영등포구 국회대로34길 3,,2022-08-03
6,당산1동,서울특별시 영등포구 당산로31길 4,,2022-08-03
7,당산1동,서울특별시 영등포구 당산로36길 14,,2022-08-03
8,당산1동,서울특별시 영등포구 당산로36길 14,,2022-08-03
9,당산1동,서울특별시 영등포구 양산로23길 17,,2022-08-03
10,당산1동,서울특별시 영등포구 양산로23길 11 ,동 자체보관,2022-08-03
11,당산1동,서울특별시 영등포구 당산로16길 4,,2022-08-03
12,당산1동,서울특별시 영등포구 당산로32길 9,,2022-08-03
13,당산1동,서울특별시 영등포구 양산로23길 11 ,동 자체보관,2022-08-03
14,당산1동,서울특별시 영등포구 양산로23길 11 ,동 자체보관,2022-08-03
15,당산1동,서울특별시 영등포구 양산로23길 11 ,동 자체보관,2022-08-03
16,당산2동,서울특별시 영등포구 양평로12길 9 한국능력개발직업전문학교,,2022-08-03
17,당산2동,서울특별시 영등포구 양평로12길 13 서울현대전문학교,,2022-08-03
18,당산2동,서울특별시 영등포구 당산로46길 11 강남부동산,,2022-08-03
19,당산2동,서울특별시 영등포구 당산로48길 4 송가네족발,,2022-08-03
20,당산2동,서울특별시 영등포구 양평로 51 오도시,,2022-08-03
21,당산2동,서울특별시 영등포구 양평로 58(철거 후 동 보관),,2022-08-03
22,당산2동,서울특별시 영등포구 양평로 58(철거 후 동 보관),,2022-08-03
23,당산2동,서울특별시 영등포구 당산로45길 2 당산빨간쭈꾸미,,2022-08-03
24,당산2동,서울특별시 영등포구 당산로49길3-3,,2022-08-03
25,당산2동,서울특별시 영등포구 당산로160,,2022-08-03
26,당산2동,서울특별시 영등포구 당산로37길 7,,2022-08-03
27,당산2동,서울특별시 영등포구 당산로36길 12,,2022-08-03
28,당산2동,서울특별시 영등포구 당산로(당산삼성2차 아파트 상가 앞),,2022-08-03
29,당산2동,서울특별시 영등포구 버드나루로 90,,2022-08-03
30,당산2동,서울특별시 영등포구 당산로45길 7-2,,2022-08-03
31,당산2동,서울특별시 영등포구 당산로37길 7,,2022-08-03
32,당산2동,서울특별시 영등포구 당산로49길 2 (1),,2022-08-03
33,당산2동,서울특별시 영등포구 당산로49길 2 (2),,2022-08-03
34,당산2동,서울특별시 영등포구 당산로45길 7,,2022-08-03
35,당산2동,서울특별시 영등포구 당산로47길 4 (1),,2022-08-03
36,당산2동,서울특별시 영등포구 당산로47길 4 (2),,2022-08-03
37,대림1동,서울특별시 영등포구 대림로 106 대림어린이공원 클린하우스 앞,,2022-08-03
38,대림1동,서울특별시 영등포구 대림로22길 2 대림제1동 공영주차장 앞,,2022-08-03
39,대림1동,서울특별시 영등포구 디지털로 441 ,동 자체보관,2022-08-03
40,대림1동,서울특별시 영등포구 도림로 180 화로구이 음식점 앞,,2022-08-03
41,대림1동,서울특별시 영등포구 디지털로 453 트윈스 카페 앞,,2022-08-03
42,대림1동,서울특별시 영등포구 디지털로 459 꼬꼬숯불갈비 앞,,2022-08-03
43,대림1동,서울특별시 영등포구 디지털로 461-2 금호갈비 앞,,2022-08-03
44,대림1동,서울특별시 영등포구 신길로 49 할머니추어탕 앞,,2022-08-03
45,대림1동,서울특별시 영등포구 신길로 49 청진동해장국 앞,,2022-08-03
46,대림1동,서울특별시 영등포구 디지털로 450 주님의교회 뒷편,,2022-08-03
47,대림1동,서울특별시 영등포구 디지털로 410,,2022-08-03
48,대림1동,서울특별시 영등포구 디지털로 412,,2022-08-03
49,대림1동,서울특별시 영등포구 디지털로 427,,2022-08-03
50,대림1동,서울특별시 영등포구 디지털로 431,,2022-08-03
51,대림1동,서울특별시 영등포구 디지털로 392,,2022-08-03
52,대림1동,서울특별시 영등포구 디지털로 392,,2022-08-03
53,대림1동,서울특별시 영등포구 디지털로 395,,2022-08-03
54,대림1동,서울특별시 영등포구 디지털로 396-1,,2022-08-03
55,대림1동,서울특별시 영등포구 대림로8길 3,,2022-08-03
56,대림1동,서울특별시 영등포구 대림로8길 39,,2022-08-03
57,대림1동,서울특별시 영등포구 대림로 86,,2022-08-03
58,대림1동,서울특별시 영등포구 대림로 96-1,,2022-08-03
59,대림1동,서울특별시 영등포구 대림로10길 2,,2022-08-03
60,대림1동,서울특별시 영등포구 대림로 100,,2022-08-03
61,대림1동,서울특별시 영등포구 신길로 29,,2022-08-03
62,대림1동,서울특별시 영등포구 신길로 29,,2022-08-03
63,대림1동,서울특별시 영등포구 대림로 76,,2022-08-03
64,대림1동,서울특별시 영등포구 대림로 86,,2022-08-03
65,대림1동,서울특별시 영등포구 대림로 88,,2022-08-03
66,대림1동,서울특별시 영등포구 대림로8길 2,,2022-08-03
67,대림1동,서울특별시 영등포구 대림로 96-1,,2022-08-03
68,대림1동,서울특별시 영등포구 대림로10길 2,,2022-08-03
69,대림1동,서울특별시 영등포구 디지털로 407,,2022-08-03
70,대림1동,서울특별시 영등포구 시흥대로183길 6,,2022-08-03
71,대림1동,서울특별시 영등포구 대림로8가길 10-1,,2022-08-03
72,대림1동,서울특별시 영등포구 시흥대로185길 15,,2022-08-03
73,대림1동,서울특별시 영등포구 대림로 76,,2022-08-03
74,대림1동,서울특별시 영등포구 대림로 86,,2022-08-03
75,대림1동,서울특별시 영등포구 대림로 88,,2022-08-03
76,대림1동,서울특별시 영등포구 대림로8길 2,,2022-08-03
77,대림1동,서울특별시 영등포구 대림로 96-1,,2022-08-03
78,대림1동,서울특별시 영등포구 대림로10길 2,,2022-08-03
79,대림1동,서울특별시 영등포구 디지털로 407,,2022-08-03
80,대림1동,서울특별시 영등포구 시흥대로183길 6,,2022-08-03
81,대림1동,서울특별시 영등포구 대림로8가길 10-1,,2022-08-03
82,대림1동,서울특별시 영등포구 시흥대로185길 15,,2022-08-03
83,대림1동,서울특별시 영등포구 대림로 96-1,,2022-08-03
84,대림1동,서울특별시 영등포구 대림로10길 2,,2022-08-03
85,대림1동,서울특별시 영등포구 디지털로 407,,2022-08-03
86,대림1동,서울특별시 영등포구 시흥대로183길 6,,2022-08-03
87,대림1동,서울특별시 영등포구 대림로8가길 10-1,,2022-08-03
88,대림1동,서울특별시 영등포구 시흥대로185길 15,,2022-08-03
89,대림1동,서울특별시 영등포구 시흥대로185길 11,,2022-08-03
90,대림2동,서울특별시 영등포구 디지털로 345,,2022-08-03
91,대림2동,서울특별시 영등포구 디지털로 351,,2022-08-03
92,대림2동,서울특별시 영등포구 디지털로53길 14,,2022-08-03
93,대림2동,서울특별시 영등포구 디지털로53길 12,,2022-08-03
94,대림2동,서울특별시 영등포구 도림로40길 29,,2022-08-03
95,대림2동,서울특별시 영등포구 도림천로11길 25-2 털보네소머리집,,2022-08-03
96,대림2동,서울특별시 영등포구 대림로 123 안기수타면,,2022-08-03
97,대림2동,서울특별시 영등포구 대림로23길 8,,2022-08-03
