address_name,경도,위도,설치장소,연번,도로명,설치 장소 유형,수거 쓰레기 종류,형태,시군구명
서울 종로구 자하문로1길 12,126.97174802679,37.576573141464,자하문로1길 12,1,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 50-1,126.96968004129,37.5770099710907,자하문로1길 50-1,2,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 34,126.970550412243,37.576612402426,자하문로1길 34,3,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 49-4,126.969547804414,37.5767621636113,자하문로1길 49-4,4,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 49-4,126.969547804414,37.5767621636113,자하문로1길 49-4,8,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로 103,126.969935904726,37.5851302421868,자하문로 103,5,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 33,126.970393335988,37.5764790159668,자하문로1길 33,6,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 사직로 103-4,126.970607440318,37.5763941957968,사직로 103-4,7,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 49-4,126.969547804414,37.5767621636113,자하문로1길 49-4,4,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 49-4,126.969547804414,37.5767621636113,자하문로1길 49-4,8,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 21,126.971187736463,37.5763758684697,자하문로1길 21,9,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 3-1,126.972135572146,37.5764562845038,자하문로1길 3-1,10,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 5,126.972100023583,37.5764620424718,자하문로1길 5,11,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 3,126.9721721367,37.5764581852171,자하문로1길 3,12,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로 39,126.971100692714,37.5795696913241,자하문로 39,13,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로 2,126.972731523498,37.5763480340398,자하문로 2,14,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 자하문로1길 32,126.970632289448,37.5765367392952,자하문로1길 32,15,자하문로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 필운대로 9-2,126.969059394981,37.5771335165691,필운대로 9-2,16,필운대로,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 통일로16길 3,126.957089166423,37.5756161918289,통일로16길 3,17,통일로,상가지역,담배꽁초,담배꽁초 수거함,종로구
서울 종로구 수송동 80,126.980448792066,37.5734248456518,수송동 80-7 보성사 터,18,종로 ,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 수송동 80,126.980448792066,37.5734248456518,수송동 80-7 보성사 터,19,종로,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 수송동 80,126.980448792066,37.5734248456518,수송동 80-7 보성사 터,18,종로 ,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 수송동 80,126.980448792066,37.5734248456518,수송동 80-7 보성사 터,19,종로,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 종로 1,126.977928770123,37.5709578373114,종로 1 교보생명 앞,20,종로 ,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 종로 1,126.977928770123,37.5709578373114,종로 1 교보생명 앞,21,종로,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
서울 종로구 종로 1,126.977928770123,37.5709578373114,종로 1 교보생명 앞,20,종로 ,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함,종로구
